iPhone Sensor Log from Crossbow started at Dec 14, 2011 1:02:00 AM Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
1.75 -26.6 2.5 -10.2 1.26 0.47 -0.62 37.428033 -122.174212 35.4 -0.1425 -0.9520 3.5419 0.292 0.180 1.549
1.78 -25.2 7.1 -12.4 1.18 0.57 -0.62 37.428033 -122.174212 35.4 -0.1366 -1.0446 4.1031 0.242 0.204 1.656
1.81 -25.2 7.1 -12.4 0.89 0.77 -0.57 37.428033 -122.174212 35.4 -0.0777 -0.8467 4.7418 0.189 0.228 1.781
1.84 -22.9 12.7 -13.8 0.73 0.91 -0.59 37.428033 -122.174212 35.4 -0.1479 -0.5053 5.3241 0.118 0.253 1.974
1.87 -22.9 12.7 -13.8 0.65 1.01 -0.85 37.428033 -122.174212 35.4 -0.5545 0.0328 5.5375 0.072 0.257 2.132
1.90 -16.9 21.8 -15.9 0.68 1.11 -0.86 37.428033 -122.174212 35.4 -0.7530 0.1592 5.6409 0.036 0.246 2.293
1.93 -16.9 21.8 -15.9 0.57 1.34 -1.13 37.428033 -122.174212 35.4 -0.4198 -0.0150 5.8009 -0.003 0.232 2.457
1.97 -9.3 25.5 -16.5 -0.28 1.56 -1.36 37.428033 -122.174212 35.4 -0.5971 0.7938 6.6972 -0.041 0.198 2.752
2.00 -9.3 25.5 -16.5 -0.28 1.56 -1.36 37.428033 -122.174212 35.4 -1.0237 0.4867 7.0477 -0.059 0.166 2.949
2.03 3.1 27.1 -13.1 -1.08 1.46 -1.69 37.428033 -122.174212 35.4 -0.4455 0.5793 5.9269 -0.073 0.132 3.128
2.06 3.1 27.1 -13.1 -1.61 1.18 -1.67 37.428033 -122.174212 35.4 0.1806 0.8323 4.9275 -0.068 0.120 -3.005
2.09 8.6 26.2 -10.8 -1.65 0.88 -1.45 37.428033 -122.174212 35.4 0.7910 -0.0231 3.1931 -0.074 0.128 -2.857
2.12 8.6 26.2 -10.8 -1.48 0.59 -1.15 37.428033 -122.174212 35.4 0.9362 -0.0468 2.0819 -0.087 0.147 -2.784
2.15 10.5 23.1 -10.2 -1.15 0.40 -0.91 37.428033 -122.174212 35.4 1.1642 0.3025 1.0154 -0.090 0.174 -2.741
