iPhone Sensor Log from Crossbow started at Dec 14, 2011 1:46:17 AM Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
3.25 17.8 -1.8 -26.0 -1.18 0.34 -0.59 37.427957 -122.174328 34.8 0.1657 2.4151 1.9385 0.088 0.182 -1.629
3.28 17.8 -1.8 -26.0 -0.81 0.24 -0.47 37.427957 -122.174328 34.8 0.6881 0.0951 1.0808 0.105 0.197 -1.587
3.31 22.6 -7.0 -23.0 -0.43 0.22 -0.30 37.427957 -122.174328 34.8 0.2745 0.7732 0.2645 0.111 0.215 -1.573
3.35 22.6 -7.0 -23.0 -0.29 -0.12 -1.07 37.427957 -122.174328 34.8 -0.0663 2.2143 -0.8563 0.153 0.211 -1.577
3.38 25.2 -8.9 -21.6 -0.15 -0.11 -0.82 37.427957 -122.174328 34.8 1.4752 -0.8947 -1.6453 0.182 0.235 -1.636
3.41 25.2 -8.9 -21.6 0.12 -0.33 -0.87 37.427957 -122.174328 34.8 1.5076 -1.1820 -1.3914 0.163 0.271 -1.690
3.44 25.4 -9.3 -21.0 -0.07 -0.25 -1.00 37.427957 -122.174328 34.8 0.1919 -1.5643 0.5884 0.141 0.300 -1.707
3.47 25.4 -9.3 -21.0 0.03 -0.25 -1.06 37.427957 -122.174328 34.8 -0.4426 -0.5018 0.3241 0.108 0.294 -1.687
3.50 24.5 -8.6 -21.4 0.19 -0.19 -1.29 37.427957 -122.174328 34.8 0.0692 -0.5533 0.0659 0.093 0.272 -1.683
3.53 24.5 -8.6 -21.4 -0.05 -0.19 -0.91 37.427957 -122.174328 34.8 1.4007 -1.0058 0.4055 0.056 0.291 -1.673
3.56 23.5 -8.9 -22.2 0.01 -0.30 -0.68 37.427957 -122.174328 34.8 1.4540 -0.2190 0.1631 0.036 0.334 -1.667
3.60 23.5 -8.9 -22.2 0.03 -0.34 -0.74 37.427957 -122.174328 34.8 0.9293 0.3052 0.4712 0.039 0.367 -1.659
3.63 23.3 -10.6 -22.8 0.12 -0.35 -0.98 37.427957 -122.174328 34.8 0.2578 -0.2237 0.1482 0.042 0.374 -1.652
3.66 23.3 -10.6 -22.8 0.02 -0.30 -0.87 37.427957 -122.174328 34.8 0.3792 0.1760 0.4172 0.034 0.372 -1.641
3.69 24.0 -11.9 -22.4 0.12 -0.36 -0.87 37.427957 -122.174328 34.8 0.1646 0.8465 0.3612 0.047 0.382 -1.630
3.72 24.0 -11.9 -22.4 0.15 -0.35 -0.99 37.427957 -122.174328 34.8 -0.2433 0.5822 0.1689 0.067 0.379 -1.623
3.75 23.7 -12.8 -21.3 0.12 -0.31 -0.96 37.427957 -122.174328 34.8 0.2391 -0.1357 -0.0552 0.082 0.361 -1.625
3.78 23.7 -12.8 -21.3 0.12 -0.31 -0.82 37.427957 -122.174328 34.8 0.2260 0.0052 0.0423 0.079 0.369 -1.626
3.81 23.8 -13.6 -21.3 0.23 -0.37 -0.86 37.427957 -122.174328 34.8 -0.1327 0.3321 -0.0694 0.106 0.373 -1.634
3.85 23.8 -13.6 -21.3 0.14 -0.31 -0.96 37.427957 -122.174328 34.8 -0.3785 0.2576 -0.0333 0.129 0.359 -1.639
3.88 24.4 -13.9 -21.1 0.17 -0.32 -0.92 37.427957 -122.174328 34.8 -0.1787 0.5086 0.1935 0.146 0.345 -1.636
3.91 24.4 -13.9 -21.1 0.26 -0.35 -0.91 37.427957 -122.174328 34.8 -0.1757 0.7355 0.2281 0.169 0.343 -1.631
3.94 24.1 -13.3 -19.6 0.19 -0.29 -1.02 37.427957 -122.174328 34.8 -0.2825 0.4016 0.1124 0.183 0.337 -1.626
3.97 24.1 -13.3 -19.6 0.15 -0.32 -0.94 37.427957 -122.174328 34.8 0.0090 0.1924 0.2041 0.186 0.330 -1.620
4.00 24.5 -13.5 -20.0 0.18 -0.35 -0.81 37.427957 -122.174328 34.8 0.4710 0.2792 0.2414 0.189 0.348 -1.612
4.03 24.5 -13.5 -20.0 0.17 -0.33 -0.87 37.427957 -122.174328 34.8 0.0309 0.5088 0.0413 0.206 0.358 -1.608
4.07 25.2 -14.0 -19.7 0.22 -0.34 -0.87 37.427957 -122.174328 34.8 -0.0601 0.3159 -0.0248 0.217 0.358 -1.609
4.10 25.2 -14.0 -19.7 0.24 -0.35 -0.93 37.427957 -122.174328 34.8 -0.0925 0.7013 0.0868 0.234 0.356 -1.608
4.13 25.2 -14.5 -17.4 0.26 -0.36 -0.96 37.427957 -122.174328 34.8 0.1886 0.8990 0.0536 0.265 0.359 -1.606
4.16 25.2 -14.5 -17.4 0.41 -0.33 -0.86 37.427957 -122.174328 34.8 0.4278 1.1489 -0.0316 0.295 0.367 -1.608
