iPhone Sensor Log from Crossbow started at Dec 4, 2011 11:08:58 PM Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
2.38 3.4 -1.9 -51.2 -0.12 0.01 -0.89 (null) (null) (null) 0.0299 -0.5458 -0.6436 -0.132 0.046 -0.074
2.41 3.4 -1.9 -51.2 0.05 -0.06 -0.98 (null) (null) (null) -0.1423 -0.7131 -0.9189 -0.145 0.047 -0.098
2.44 1.9 -2.5 -51.2 0.12 -0.04 -0.99 (null) (null) (null) -0.0633 -0.6552 -0.7331 -0.162 0.048 -0.121
2.47 1.9 -2.5 -51.2 -0.01 0.01 -0.90 (null) (null) (null) 0.0459 -0.1301 -0.3544 -0.170 0.055 -0.143
2.50 0.3 -1.9 -51.8 0.09 -0.10 -1.00 (null) (null) (null) 0.0859 -0.0500 -0.5301 -0.143 0.064 -0.159
2.53 0.3 -1.9 -51.8 0.21 -0.15 -1.03 (null) (null) (null) 0.1558 -0.3417 -0.2594 -0.130 0.073 -0.171
2.56 -1.7 -1.6 -52.6 0.01 -0.02 -0.89 (null) (null) (null) 0.2700 -0.4278 0.1326 -0.134 0.081 -0.171
2.60 -1.7 -1.6 -52.6 0.10 -0.07 -0.90 (null) (null) (null) -0.0018 0.3733 -0.3408 -0.121 0.087 -0.175
2.63 -2.3 -1.6 -52.3 0.29 -0.11 -1.09 (null) (null) (null) -0.0840 0.2452 -0.1781 -0.109 0.086 -0.183
2.66 -2.3 -1.6 -52.3 0.04 0.02 -1.06 (null) (null) (null) 0.0523 -0.0473 0.1552 -0.088 0.076 -0.184
2.69 -2.7 -1.0 -53.2 0.23 -0.05 -1.10 (null) (null) (null) 0.0961 0.0065 -0.2256 -0.078 0.078 -0.185
2.72 -2.7 -1.0 -53.2 0.24 -0.06 -1.10 (null) (null) (null) 0.0161 -0.1623 -0.0518 -0.076 0.080 -0.194
2.75 -4.1 -0.6 -54.2 0.07 -0.00 -1.14 (null) (null) (null) 0.1665 0.0943 0.0777 -0.071 0.080 -0.193
2.78 -4.1 -0.6 -54.2 0.19 -0.08 -0.98 (null) (null) (null) 0.3218 0.2862 -0.1801 -0.047 0.088 -0.196
2.81 -4.9 -1.5 -54.2 0.19 -0.09 -1.01 (null) (null) (null) 0.1279 0.1954 -0.0502 -0.026 0.094 -0.201
2.85 -4.9 -1.5 -54.2 0.08 -0.06 -0.99 (null) (null) (null) 0.0863 0.3026 0.0595 -0.005 0.095 -0.200
2.88 -4.6 -2.4 -54.1 0.11 -0.09 -1.02 (null) (null) (null) 0.1340 0.1179 -0.0629 0.012 0.097 -0.202
2.91 -4.6 -2.4 -54.1 0.14 -0.10 -0.97 (null) (null) (null) 0.2384 -0.2072 0.0088 0.016 0.103 -0.204
