iPhone Sensor Log from Crossbow started at Nov 18, 2011 1:58:27 Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
1.79 -28.7 -2.2 -37.0 -0.08 0.11 -1.03 37.425048 -122.170808 50.9 0.2684 0.1567 0.5430 -0.068 0.029 -2.450
1.82 -28.7 -2.2 -37.0 -0.06 0.07 -1.10 37.425048 -122.170808 50.9 -0.2682 0.7956 0.8100 -0.038 0.022 -2.426
1.85 -27.2 -1.9 -37.3 -0.37 0.09 -1.09 37.425048 -122.170808 50.9 0.1276 0.1520 1.4167 -0.027 0.019 -2.394
1.88 -27.2 -1.9 -37.3 -0.52 0.02 -1.10 37.425048 -122.170808 50.9 -0.0448 0.3970 1.1066 -0.021 0.021 -2.360
1.91 -25.7 -0.1 -37.9 -0.58 -0.02 -1.05 37.425048 -122.170808 50.9 -0.0381 0.4124 0.8858 -0.004 0.017 -2.330
1.94 -25.7 -0.1 -37.9 -0.77 -0.08 -1.01 37.425048 -122.170808 50.9 0.1042 0.3131 1.0755 0.002 0.020 -2.301
1.97 -25.5 2.6 -38.8 -0.46 -0.03 -1.03 37.425048 -122.170808 50.9 -0.4134 0.5923 0.3766 0.015 0.014 -2.284
2.01 -25.5 2.6 -38.8 -0.33 0.01 -0.99 37.425048 -122.170808 50.9 0.0221 0.0543 0.1496 -0.021 0.004 -2.280
2.04 -25.0 3.9 -39.4 -0.33 -0.03 -1.05 37.425048 -122.170808 50.9 -0.0577 0.0528 0.3236 -0.062 0.006 -2.273
2.07 -25.0 3.9 -39.4 -0.34 -0.03 -1.03 37.425048 -122.170808 50.9 0.0672 -0.1139 0.4490 -0.092 0.007 -2.263
2.10 -24.2 5.4 -39.7 -0.29 0.00 -1.02 37.425048 -122.170808 50.9 0.0639 -0.4663 0.3693 -0.113 0.010 -2.246
2.13 -24.2 5.4 -39.7 -0.15 0.03 -1.00 37.425048 -122.170808 50.9 0.0941 -0.3532 0.1978 -0.128 0.009 -2.241
2.16 -24.5 5.3 -40.4 -0.21 -0.04 -1.07 37.425048 -122.170808 50.9 -0.1329 0.0972 0.5337 -0.139 0.006 -2.227
2.19 -24.5 5.3 -40.4 -0.15 -0.05 -1.02 37.425048 -122.170808 50.9 0.1775 -0.0423 0.3668 -0.137 0.005 -2.210
2.22 -23.6 5.0 -41.5 -0.09 0.01 -0.97 37.425048 -122.170808 50.9 0.5156 -0.2088 0.1453 -0.141 0.013 -2.204
2.26 -23.6 5.0 -41.5 -0.13 -0.07 -1.04 37.425048 -122.170808 50.9 0.0302 0.3371 0.2848 -0.135 0.021 -2.197
2.29 -24.3 4.9 -41.7 -0.08 -0.08 -1.08 37.425048 -122.170808 50.9 0.0567 0.1913 0.3909 -0.120 0.022 -2.185
2.32 -24.3 4.9 -41.7 -0.08 -0.08 -1.08 37.425048 -122.170808 50.9 0.3105 -0.3296 -0.0262 -0.123 0.028 -2.181
2.35 -25.1 5.7 -42.4 -0.04 -0.03 -0.97 37.425048 -122.170808 50.9 0.2038 0.2725 0.0496 -0.119 0.041 -2.182
2.38 -25.1 5.7 -42.4 -0.09 -0.08 -1.05 37.425048 -122.170808 50.9 -0.1243 0.1641 0.0819 -0.105 0.041 -2.178
2.41 -24.3 5.6 -42.6 -0.02 -0.07 -1.07 37.425048 -122.170808 50.9 0.1984 -0.0261 -0.1475 -0.100 0.044 -2.180
2.44 -24.3 5.6 -42.6 -0.03 -0.04 -1.00 37.425048 -122.170808 50.9 0.1428 0.2645 0.0129 -0.091 0.051 -2.182
2.47 -23.5 4.5 -42.8 -0.05 -0.06 -1.04 37.425048 -122.170808 50.9 0.1941 0.3018 0.0705 -0.080 0.054 -2.181
2.51 -23.5 4.5 -42.8 -0.01 -0.07 -0.97 37.425048 -122.170808 50.9 0.1360 -0.1168 -0.0434 -0.075 0.066 -2.181
