iPhone Sensor Log from Crossbow started at Dec 14, 2011 1:06:08 AM Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
2.72 15.4 15.8 -6.9 0.48 0.16 -1.05 37.427163 -122.173288 34.1 -0.8480 -0.2676 -0.4701 0.272 -0.126 -1.837
2.75 15.0 16.1 -4.9 0.38 0.17 -1.12 37.427163 -122.173288 34.1 -0.7370 -0.5532 -0.2750 0.258 -0.150 -1.841
2.78 15.0 16.1 -4.9 0.17 0.12 -1.30 37.427163 -122.173288 34.1 -0.3974 -0.0280 -0.1961 0.249 -0.166 -1.843
2.81 14.4 16.5 -3.7 0.26 0.15 -1.03 37.427163 -122.173288 34.1 0.1635 0.1858 -0.4342 0.256 -0.171 -1.855
2.85 14.4 16.5 -3.7 0.37 0.14 -1.00 37.427163 -122.173288 34.1 -0.1041 -0.2504 -0.2387 0.261 -0.171 -1.863
2.88 13.8 16.2 -3.4 0.26 0.13 -0.93 37.427163 -122.173288 34.1 -0.1550 -0.1683 -0.1372 0.267 -0.171 -1.864
2.91 13.8 16.2 -3.4 0.29 0.12 -0.86 37.427163 -122.173288 34.1 0.1345 -0.1698 0.0132 0.263 -0.166 -1.865
2.94 14.3 16.0 -3.6 0.30 0.08 -0.94 37.427163 -122.173288 34.1 0.2545 -0.1247 0.0323 0.267 -0.149 -1.865
2.97 14.3 16.0 -3.6 0.30 0.08 -0.94 37.427163 -122.173288 34.1 0.0945 0.0771 0.0777 0.269 -0.135 -1.865
3.00 15.0 15.8 -3.7 0.31 0.14 -0.99 37.427163 -122.173288 34.1 0.1353 -0.2891 0.0452 0.267 -0.131 -1.863
3.03 15.0 15.8 -3.7 0.24 0.16 -0.99 37.427163 -122.173288 34.1 0.0153 -0.1347 0.1005 0.257 -0.130 -1.862
3.07 14.7 16.1 -3.7 0.16 0.16 -0.97 37.427163 -122.173288 34.1 0.1040 -0.2558 0.1878 0.240 -0.130 -1.858
3.10 14.7 16.1 -3.7 0.14 0.17 -0.96 37.427163 -122.173288 34.1 0.0659 -0.1762 0.0204 0.229 -0.129 -1.856
3.13 14.6 16.5 -4.3 0.22 0.14 -0.93 37.427163 -122.173288 34.1 0.0110 -0.1098 -0.0209 0.224 -0.128 -1.857
3.16 14.6 16.5 -4.3 0.18 0.12 -0.94 37.427163 -122.173288 34.1 -0.0295 0.0833 -0.0054 0.222 -0.127 -1.857
3.19 14.9 15.9 -4.6 0.21 0.12 -0.95 37.427163 -122.173288 34.1 -0.0006 -0.0298 0.0506 0.222 -0.127 -1.855
3.22 14.9 15.9 -4.6 0.18 0.13 -0.92 37.427163 -122.173288 34.1 -0.0169 0.0190 0.0251 0.220 -0.127 -1.854
3.25 14.3 15.3 -4.6 0.21 0.14 -0.94 37.427163 -122.173288 34.1 0.0167 0.0908 -0.0197 0.222 -0.128 -1.855
