iPhone Sensor Log from Crossbow started at Dec 14, 2011 1:48:19 AM Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
2.35 23.8 -16.2 -23.2 0.09 -0.19 -0.99 37.427957 -122.174328 34.8 1.0689 -0.4527 0.8590 0.134 0.248 -1.207
2.38 23.8 -16.2 -23.2 0.03 -0.23 -0.83 37.427957 -122.174328 34.8 0.8690 0.2045 0.4886 0.125 0.280 -1.192
2.41 24.2 -18.7 -21.0 0.07 -0.24 -0.89 37.427957 -122.174328 34.8 0.4890 0.8093 0.2754 0.141 0.297 -1.184
2.44 24.2 -18.7 -21.0 0.08 -0.30 -0.88 37.427957 -122.174328 34.8 0.2574 0.5249 0.3213 0.157 0.309 -1.178
2.47 23.3 -20.6 -20.7 0.08 -0.33 -0.95 37.427957 -122.174328 34.8 0.2576 0.4889 0.1234 0.160 0.321 -1.166
2.50 23.3 -20.6 -20.7 0.19 -0.26 -0.83 37.427957 -122.174328 34.8 0.3701 0.5828 0.0834 0.177 0.332 -1.167
2.53 23.3 -21.4 -18.9 0.14 -0.30 -0.96 37.427957 -122.174328 34.8 0.0016 0.7977 0.3828 0.190 0.336 -1.159
2.56 23.3 -21.4 -18.9 0.18 -0.34 -0.99 37.427957 -122.174328 34.8 -0.0477 1.1172 0.2500 0.215 0.336 -1.149
2.60 23.1 -22.0 -17.3 0.21 -0.35 -0.92 37.427957 -122.174328 34.8 0.2208 0.6689 0.1331 0.253 0.345 -1.143
2.63 23.1 -22.0 -17.3 0.30 -0.34 -0.93 37.427957 -122.174328 34.8 0.2437 0.9734 0.0760 0.276 0.350 -1.143
2.66 23.0 -22.8 -15.5 0.27 -0.34 -1.02 37.427957 -122.174328 34.8 0.2740 1.6075 0.1562 0.314 0.359 -1.141
2.69 23.0 -22.8 -15.5 0.52 -0.48 -0.62 37.427957 -122.174328 34.8 0.4784 1.7676 0.0331 0.362 0.370 -1.142
