iPhone Sensor Log from Crossbow started at Dec 4, 2011 11:01:44 PM Pacific Standard Time.
1.41 -3.8 -6.2 -44.7 0.17 -0.08 -0.49 (null) (null) (null) 0.5429 -0.4506 -0.9099 -0.028 0.241 -0.402
1.44 -5.2 -7.4 -44.5 0.24 -0.15 -0.46 (null) (null) (null) 0.3053 1.1496 -1.0653 -0.006 0.253 -0.430
1.47 -5.2 -7.4 -44.5 0.27 -0.21 -0.67 (null) (null) (null) -0.0591 0.5743 -0.8535 0.028 0.256 -0.458
1.50 -5.0 -8.0 -44.8 0.22 -0.16 -0.77 (null) (null) (null) -0.1985 -0.5104 -0.6850 0.029 0.249 -0.486
1.53 -5.0 -8.0 -44.8 0.14 -0.16 -0.81 (null) (null) (null) -0.1715 0.0244 -0.8935 0.026 0.243 -0.507
1.56 -3.2 -7.5 -44.4 0.25 -0.23 -0.82 (null) (null) (null) -0.0045 0.3908 -0.8715 0.040 0.240 -0.534
1.60 -3.2 -7.5 -44.4 0.25 -0.21 -0.75 (null) (null) (null) 0.1262 0.0959 -0.5538 0.052 0.241 -0.553
1.63 -3.1 -7.7 -44.4 0.16 -0.21 -0.84 (null) (null) (null) -0.3809 -0.0701 -0.7492 0.057 0.236 -0.580
1.66 -3.1 -7.7 -44.4 0.20 -0.23 -0.90 (null) (null) (null) -0.2192 -0.0725 -0.6577 0.060 0.226 -0.600
1.69 -3.1 -8.3 -45.2 0.27 -0.21 -0.85 (null) (null) (null) -0.1795 -0.1139 -0.5361 0.062 0.221 -0.617
1.72 -3.1 -8.3 -45.2 0.17 -0.17 -0.81 (null) (null) (null) -0.4814 -0.3474 -0.3455 0.056 0.211 -0.628
1.75 -3.9 -8.2 -46.3 0.30 -0.18 -0.99 (null) (null) (null) -0.5545 -0.1749 -0.4487 0.056 0.187 -0.644
1.78 -3.9 -8.2 -46.3 0.29 -0.15 -0.94 (null) (null) (null) -0.5474 -0.5829 -0.2469 0.054 0.172 -0.654
1.81 -5.2 -5.6 -46.0 0.20 -0.15 -1.07 (null) (null) (null) -0.9340 -1.0928 -0.0607 0.027 0.149 -0.657
1.85 -5.2 -5.6 -46.0 0.20 -0.13 -1.09 (null) (null) (null) -0.7807 -0.3217 -0.0088 0.008 0.125 -0.658
1.88 -5.5 -3.8 -46.0 0.16 -0.11 -1.17 (null) (null) (null) -0.6225 0.4805 0.2170 0.023 0.098 -0.650
1.91 -5.5 -3.8 -46.0 0.17 -0.08 -1.23 (null) (null) (null) -0.6849 -0.3649 0.3469 0.022 0.079 -0.642
1.94 -6.7 -2.4 -47.4 0.15 -0.04 -1.20 (null) (null) (null) -0.5879 -0.5767 0.4288 0.004 0.061 -0.630
1.97 -6.7 -2.4 -47.4 0.06 -0.03 -1.16 (null) (null) (null) -0.4043 -0.1038 0.5282 -0.005 0.048 -0.617
2.00 -7.2 0.7 -49.3 0.06 -0.03 -1.16 (null) (null) (null) -0.3361 0.1986 0.5313 -0.001 0.035 -0.597
2.03 -7.2 0.7 -49.3 -0.00 0.01 -1.23 (null) (null) (null) -0.3550 -0.0569 0.6360 -0.001 0.025 -0.580
2.06 -7.4 2.7 -49.3 -0.14 0.02 -1.19 (null) (null) (null) -0.1900 -0.2503 0.6651 -0.006 0.018 -0.562
2.10 -7.4 2.7 -49.3 -0.15 -0.01 -1.20 (null) (null) (null) -0.2789 -0.3261 0.6078 -0.015 0.012 -0.545
2.13 -5.8 4.7 -49.9 -0.16 0.00 -1.19 (null) (null) (null) -0.0522 0.3128 0.5598 -0.019 0.004 -0.518
2.16 -5.8 4.7 -49.9 -0.22 0.01 -1.26 (null) (null) (null) -0.0376 0.5016 0.6079 -0.006 0.003 -0.501
2.19 -4.3 4.2 -50.6 -0.18 0.01 -1.19 (null) (null) (null) 0.0552 0.3291 0.5574 0.005 0.003 -0.485
2.22 -4.3 4.2 -50.6 -0.17 0.02 -1.14 (null) (null) (null) 0.0761 0.0976 0.5025 0.009 0.005 -0.471
2.25 -3.9 2.4 -51.0 -0.16 -0.01 -1.05 (null) (null) (null) 0.2652 0.3496 0.4616 0.005 0.013 -0.452
2.28 -3.9 2.4 -51.0 -0.19 -0.02 -0.96 (null) (null) (null) 0.2888 0.3760 0.4591 0.003 0.022 -0.440
2.31 -3.5 2.2 -51.0 -0.21 -0.03 -1.04 (null) (null) (null) 0.0560 0.1977 0.4082 -0.008 0.027 -0.427
2.35 -3.5 2.2 -51.0 -0.26 -0.02 -1.00 (null) (null) (null) 0.0550 0.0365 0.4008 -0.026 0.028 -0.415
2.38 -2.7 1.5 -50.8 -0.12 -0.04 -0.88 (null) (null) (null) 0.2558 0.1475 0.1939 -0.042 0.035 -0.403
