iPhone Sensor Log from Crossbow started at Nov 17, 2011 15:20:06 Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
2.29 -28.1 1.7 -41.3 -0.42 0.04 -1.16 37.425976 -122.151702 6.6 0.7421 -0.7599 1.4381 -0.133 -0.059 -0.501
2.32 -28.1 1.7 -41.3 -0.39 -0.02 -1.12 37.425976 -122.151702 6.6 0.7347 -0.0509 1.1052 -0.141 -0.043 -0.464
2.35 -28.2 3.1 -40.8 -0.39 -0.02 -1.12 37.425976 -122.151702 6.6 0.3356 0.5583 0.4525 -0.120 -0.030 -0.441
2.38 -28.2 3.1 -40.8 -0.31 -0.04 -1.11 37.425976 -122.151702 6.6 0.6455 0.3104 0.5395 -0.110 -0.017 -0.426
2.41 -28.4 3.3 -41.0 -0.23 -0.01 -0.91 37.425976 -122.151702 6.6 0.5309 0.1077 0.6078 -0.106 0.003 -0.405
2.44 -28.4 3.3 -41.0 -0.26 -0.00 -0.88 37.425976 -122.151702 6.6 0.0175 0.8024 0.3501 -0.092 0.010 -0.388
2.47 -27.1 2.8 -41.9 -0.14 0.01 -0.98 37.425976 -122.151702 6.6 0.2279 0.3661 0.2738 -0.079 0.013 -0.381
2.50 -27.1 2.8 -41.9 -0.12 -0.02 -0.96 37.425976 -122.151702 6.6 0.5056 0.2709 0.4845 -0.076 0.030 -0.365
2.54 -25.5 2.6 -43.4 -0.15 -0.01 -0.83 37.425976 -122.151702 6.6 0.1480 0.5383 0.6488 -0.065 0.038 -0.349
2.57 -25.5 2.6 -43.4 -0.16 -0.08 -0.98 37.425976 -122.151702 6.6 -0.1662 0.3526 0.5402 -0.061 0.037 -0.333
2.60 -25.1 2.6 -44.3 0.00 -0.05 -1.03 37.425976 -122.151702 6.6 0.3976 -0.2223 0.3304 -0.047 0.047 -0.322
2.63 -25.1 2.6 -44.3 -0.01 -0.04 -0.99 37.425976 -122.151702 6.6 0.5163 0.1602 0.2605 -0.048 0.060 -0.312
2.66 -24.3 2.4 -44.9 -0.04 -0.12 -1.07 37.425976 -122.151702 6.6 0.0154 0.2236 0.1543 -0.044 0.070 -0.306
2.69 -24.3 2.4 -44.9 -0.09 -0.08 -1.09 37.425976 -122.151702 6.6 0.5800 0.1850 -0.1367 -0.045 0.076 -0.306
2.72 -23.8 2.2 -43.6 -0.03 -0.09 -0.95 37.425976 -122.151702 7.7 1.2737 -0.1797 -0.3695 -0.040 0.105 -0.315
2.76 -23.8 2.2 -43.6 -0.10 -0.16 -0.93 37.425976 -122.151702 7.7 0.7528 -0.8173 0.4656 -0.071 0.142 -0.309
2.79 -24.1 -0.1 -42.7 -0.10 -0.18 -0.96 37.425976 -122.151702 7.7 -0.3276 0.9025 -0.1216 -0.067 0.152 -0.302
2.82 -24.1 -0.1 -42.7 -0.02 -0.16 -1.04 37.425976 -122.151702 7.7 -0.8566 1.0896 -0.2088 -0.035 0.132 -0.309
2.85 -23.7 -0.7 -43.6 0.02 -0.14 -1.03 37.425976 -122.151702 7.7 0.3327 0.1612 0.3378 -0.020 0.121 -0.309
2.88 -23.7 -0.7 -43.6 0.01 -0.13 -0.98 37.425976 -122.151702 7.7 0.5280 0.0076 0.1656 -0.015 0.140 -0.299
2.91 -22.8 0.3 -44.3 0.04 -0.14 -0.97 37.425976 -122.151702 7.7 -0.0101 0.5641 -0.0986 -0.004 0.146 -0.300
2.94 -22.8 0.3 -44.3 0.04 -0.15 -1.01 37.425976 -122.151702 7.7 -0.2535 0.4844 0.0226 0.031 0.134 -0.302
2.97 -21.9 0.1 -45.0 0.00 -0.08 -0.98 37.425976 -122.151702 7.7 0.2118 -0.0210 0.1147 0.033 0.133 -0.300
3.00 -21.9 0.1 -45.0 0.08 -0.12 -0.95 37.425976 -122.151702 7.7 0.1788 -0.0575 0.0018 0.032 0.139 -0.299
3.04 -20.2 -0.2 -45.4 0.03 -0.15 -0.92 37.425976 -122.151702 7.7 -0.1398 0.0400 0.1877 0.034 0.139 -0.295
