iPhone Sensor Log from Crossbow started at Dec 14, 2011 1:33:44 AM Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
1.94 -9.1 -21.5 8.7 0.26 -0.74 0.50 37.428006 -122.174270 34.0 -0.9696 -1.9294 0.3789 2.670 0.925 -1.770
1.97 -9.3 -19.6 7.4 0.29 -0.77 0.49 37.428006 -122.174270 34.0 -0.9552 -1.7968 0.4405 2.598 0.964 -1.765
2.00 -9.3 -19.6 7.4 0.29 -0.77 0.39 37.428006 -122.174270 34.0 -1.0885 -1.7690 0.5290 2.541 0.995 -1.757
2.03 -10.0 -19.0 6.9 0.30 -0.78 0.37 37.428006 -122.174270 34.0 -1.0317 -1.7458 0.6094 2.486 1.029 -1.749
2.06 -10.0 -19.0 6.9 0.29 -0.80 0.37 37.428006 -122.174270 34.0 -0.9695 -1.7608 0.7260 2.432 1.061 -1.744
2.10 -10.1 -17.7 6.5 0.33 -0.81 0.31 37.428006 -122.174270 34.0 -1.0727 -1.3413 0.8361 2.350 1.121 -1.732
2.13 -10.1 -17.7 6.5 0.26 -0.82 0.26 37.428006 -122.174270 34.0 -1.1668 -1.3203 0.9955 2.301 1.161 -1.719
2.16 -10.4 -17.3 5.2 0.24 -0.82 0.28 37.428006 -122.174270 34.0 -1.1601 -1.3143 1.0267 2.251 1.204 -1.704
2.19 -10.4 -17.3 5.2 0.22 -0.82 0.19 37.428006 -122.174270 34.0 -1.2997 -1.1827 1.0545 2.187 1.248 -1.674
2.22 -11.1 -16.4 4.4 0.22 -0.80 0.10 37.428006 -122.174270 34.0 -1.3133 -0.8771 1.1714 2.084 1.309 -1.607
2.25 -11.1 -16.4 4.4 0.11 -0.81 0.06 37.428006 -122.174270 34.0 -1.3109 -0.6489 1.4305 1.999 1.358 -1.541
2.28 -11.7 -15.4 5.5 0.03 -0.78 -0.01 37.428006 -122.174270 34.0 -1.4768 -0.5796 1.4863 1.869 1.411 -1.426
2.31 -11.7 -15.4 5.5 0.04 -0.77 -0.23 37.428006 -122.174270 34.0 -1.5621 -0.3200 1.4029 1.595 1.458 -1.163
2.35 -13.6 -15.1 6.1 0.02 -0.75 -0.26 37.428006 -122.174270 34.0 -1.0994 -0.8207 1.2362 0.690 1.491 -0.276
2.38 -13.6 -15.1 6.1 0.07 -0.78 -0.16 37.428006 -122.174270 34.0 -0.7092 -1.3792 1.0121 0.199 1.483 0.183
2.41 -14.3 -14.9 5.8 0.12 -0.77 -0.14 37.428006 -122.174270 34.0 -0.5471 -1.4677 0.9865 -0.130 1.467 0.473
2.44 -14.3 -14.9 5.8 0.09 -0.77 -0.06 37.428006 -122.174270 34.0 -0.3884 -1.4664 1.1260 -0.389 1.447 0.693
2.47 -15.1 -14.1 6.9 -0.05 -0.70 0.10 37.428006 -122.174270 34.0 -0.3532 -1.5101 1.5116 -0.704 1.410 0.952
2.50 -15.1 -14.1 6.9 -0.09 -0.64 0.00 37.428006 -122.174270 34.0 -0.6281 -0.6869 1.7402 -0.860 1.368 1.079
