iPhone Sensor Log from Crossbow started at Nov 17, 2011 15:20:55 Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
1.82 -29.1 -22.8 -32.5 0.31 0.09 -1.17 37.425930 -122.151760 24.8 -1.2876 -0.0793 -0.1745 -0.073 0.247 -0.795
1.85 -26.9 -19.6 -34.8 0.44 0.08 -1.27 37.425930 -122.151760 24.8 -1.2590 0.4451 0.0259 -0.065 0.201 -0.802
1.88 -26.9 -19.6 -34.8 0.33 0.10 -1.41 37.425930 -122.151760 24.8 -0.6552 -0.2190 0.4455 -0.062 0.175 -0.797
1.91 -26.3 -17.7 -36.2 0.27 0.09 -1.45 37.425930 -122.151760 24.8 -0.8138 -0.1875 0.5089 -0.082 0.148 -0.779
1.94 -26.3 -17.7 -36.2 0.37 0.14 -1.49 37.425930 -122.151760 24.8 -1.1588 1.0531 0.2314 -0.068 0.123 -0.773
1.97 -26.0 -14.7 -36.6 0.15 0.12 -1.55 37.425930 -122.151760 24.8 -1.0885 0.4238 0.9959 -0.047 0.088 -0.758
2.01 -26.0 -14.7 -36.6 0.13 0.12 -1.43 37.425930 -122.151760 24.8 -0.6201 0.0704 1.0918 -0.063 0.056 -0.703
2.04 -26.4 -12.3 -37.0 0.08 0.18 -1.54 37.425930 -122.151760 24.8 -0.8446 0.7875 1.1248 -0.047 0.034 -0.679
2.07 -26.4 -12.3 -37.0 -0.16 0.11 -1.63 37.425930 -122.151760 24.8 -0.7619 -0.2402 1.8573 -0.042 0.011 -0.637
2.10 -26.4 -9.5 -38.5 -0.27 -0.03 -1.42 37.425930 -122.151760 24.8 -0.0269 0.3279 1.1859 -0.049 -0.002 -0.581
2.13 -26.4 -9.5 -38.5 -0.27 0.01 -1.46 37.425930 -122.151760 24.8 -0.7322 1.2358 0.7385 -0.025 -0.014 -0.559
2.16 -26.4 -4.5 -39.4 -0.26 -0.01 -1.55 37.425930 -122.151760 24.8 0.1323 0.0566 0.8547 0.000 -0.041 -0.523
2.19 -26.4 -4.5 -39.4 -0.20 -0.01 -1.33 37.425930 -122.151760 24.8 0.0285 0.2471 0.5107 0.002 -0.035 -0.506
2.22 -25.6 -1.9 -40.7 -0.28 -0.05 -1.38 37.425930 -122.151760 24.8 -0.3579 1.2113 0.6682 0.026 -0.041 -0.491
2.26 -25.6 -1.9 -40.7 -0.25 -0.02 -1.25 37.425930 -122.151760 24.8 0.1529 0.1509 1.0334 0.051 -0.046 -0.459
2.29 -23.8 0.3 -41.6 -0.24 -0.00 -1.09 37.425930 -122.151760 24.8 0.1662 -0.0492 1.2114 0.050 -0.038 -0.428
2.32 -23.8 0.3 -41.6 -0.29 -0.00 -1.07 37.425930 -122.151760 24.8 0.1695 -0.1027 1.3515 0.051 -0.032 -0.395
2.35 -23.1 0.9 -41.4 -0.39 -0.02 -1.01 37.425930 -122.151760 24.8 0.7967 -0.6015 0.7385 0.030 -0.017 -0.356
2.38 -23.1 0.9 -41.4 -0.26 0.06 -1.32 37.425930 -122.151760 24.8 1.3844 1.0669 0.6232 0.046 0.027 -0.339
2.41 -23.5 0.4 -42.0 -0.16 -0.05 -1.03 37.425930 -122.151760 24.8 0.0803 -0.4269 0.7936 0.046 0.045 -0.320
2.44 -23.5 0.4 -42.0 -0.26 -0.09 -0.98 37.425930 -122.151760 24.8 0.3820 -0.5947 0.3674 0.024 0.053 -0.297
2.47 -24.1 0.1 -41.8 -0.19 -0.10 -1.00 37.425930 -122.151760 24.8 0.3561 -0.8481 -0.1959 0.004 0.064 -0.296
2.51 -24.1 0.1 -41.8 -0.25 -0.08 -0.88 37.425930 -122.151760 24.8 0.2643 -1.2687 -0.5864 -0.028 0.072 -0.310
2.54 -25.5 -0.2 -41.1 -0.23 -0.11 -0.93 37.425930 -122.151760 24.8 -0.1761 0.0842 0.9258 -0.067 0.070 -0.299
2.57 -25.5 -0.2 -41.1 -0.18 -0.05 -1.00 37.425930 -122.151760 24.8 -0.3134 -0.1594 0.6586 -0.078 0.060 -0.277
