iPhone Sensor Log from Crossbow started at Dec 16, 2011 19:59:42 Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
2.85 -0.4 -19.7 -30.6 -0.08 0.01 -1.05 0 0 0 0.0125 -0.0801 0.2724 0.043 -0.003 2.491
2.88 -2.0 -19.9 -31.9 -0.10 0.01 -0.99 0 0 0 0.2321 -0.1084 0.2291 0.031 0.001 2.498
2.91 -2.0 -19.9 -31.9 -0.07 -0.00 -1.04 0 0 0 -0.1404 -0.0126 0.0714 0.023 0.002 2.505
2.94 -1.4 -20.6 -32.2 -0.06 0.05 -1.03 0 0 0 0.0410 -0.1898 0.1310 0.017 -0.002 2.507
2.97 -1.4 -20.6 -32.2 -0.04 0.01 -1.03 0 0 0 0.0764 -0.0062 0.1089 0.010 -0.000 2.510
3.00 -1.2 -20.8 -31.9 -0.03 0.00 -1.05 0 0 0 -0.1282 -0.0294 0.0083 0.009 -0.004 2.511
3.03 -1.2 -20.8 -31.9 -0.10 0.01 -1.01 0 0 0 0.1067 -0.1722 0.1795 0.000 -0.003 2.513
3.07 -1.8 -20.4 -31.8 -0.03 -0.03 -1.04 0 0 0 0.0223 0.0478 0.0815 -0.004 -0.000 2.516
3.10 -1.8 -20.4 -31.8 -0.07 0.01 -1.04 0 0 0 0.1055 -0.0545 0.0415 -0.006 -0.000 2.517
3.13 -2.0 -20.2 -31.9 0.02 -0.09 -0.85 0 0 0 0.5092 0.0467 0.0067 -0.009 0.009 2.519
