iPhone Sensor Log from Crossbow started at Dec 16, 2011 19:51:51 Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
2.10 0.9 -24.9 -23.3 0.10 -0.02 -1.16 0 0 0 -0.1570 0.1599 0.5277 -0.022 0.033 -1.334
2.13 0.9 -24.9 -23.3 0.01 -0.07 -1.00 0 0 0 0.4790 0.1857 -0.0705 -0.016 0.045 -1.330
2.16 2.3 -23.6 -24.9 0.06 -0.09 -1.25 0 0 0 -0.3814 -0.2406 -0.0437 -0.016 0.034 -1.334
2.19 2.3 -23.6 -24.9 -0.01 0.03 -1.17 0 0 0 0.2669 -0.1113 -0.1039 -0.022 0.035 -1.336
2.23 2.3 -22.0 -26.9 0.07 -0.02 -1.17 0 0 0 -0.0939 -0.0104 0.1227 -0.024 0.038 -1.336
2.26 2.3 -22.0 -26.9 0.02 -0.07 -1.28 0 0 0 -0.7186 -0.3055 -0.1979 -0.032 0.020 -1.338
2.29 2.0 -21.8 -27.0 -0.01 -0.02 -1.29 0 0 0 -0.4908 -0.7942 -0.0455 -0.047 0.003 -1.344
2.32 2.0 -21.8 -27.0 -0.02 0.00 -1.30 0 0 0 0.0523 -0.7184 0.1617 -0.069 -0.001 -1.341
2.35 1.7 -21.0 -27.5 0.02 0.00 -1.19 0 0 0 -0.2758 0.1578 0.2059 -0.074 -0.005 -1.336
2.38 1.7 -21.0 -27.5 -0.02 -0.02 -1.19 0 0 0 -0.3706 0.0508 0.0086 -0.071 -0.014 -1.334
2.42 0.3 -20.7 -28.4 0.02 0.03 -1.19 0 0 0 -0.1586 0.1450 -0.0397 -0.069 -0.024 -1.337
2.44 0.3 -20.7 -28.4 -0.01 -0.01 -1.07 0 0 0 0.2315 0.5394 0.0748 -0.058 -0.020 -1.337
2.47 -0.1 -20.0 -29.5 0.01 -0.06 -1.01 0 0 0 0.1465 0.6929 0.2310 -0.039 -0.013 -1.333
2.51 -0.1 -20.0 -29.5 -0.02 -0.02 -1.12 0 0 0 -0.0929 0.2548 0.2499 -0.022 -0.013 -1.324
2.54 0.8 -19.8 -29.8 -0.01 -0.03 -1.07 0 0 0 0.3878 0.4289 0.0623 -0.013 -0.004 -1.321
2.57 0.8 -19.8 -29.8 0.03 -0.05 -0.97 0 0 0 0.3700 0.6651 0.1159 0.002 0.009 -1.318
2.60 1.6 -20.9 -29.4 0.10 -0.04 -1.02 0 0 0 -0.0283 0.5739 -0.0388 0.030 0.015 -1.317
2.63 1.6 -20.9 -29.4 0.02 0.02 -1.02 0 0 0 0.1528 0.2127 -0.0435 0.038 0.014 -1.319
2.66 2.8 -21.5 -28.9 0.02 -0.01 -0.98 0 0 0 0.3196 0.2233 0.2527 0.042 0.018 -1.317
