iPhone Sensor Log from Crossbow started at Dec 16, 2011 19:51:37 Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
2.13 1.1 -21.5 -25.7 0.02 -0.07 -1.25 0 0 0 -0.1957 -0.3432 0.1148 0.017 0.062 -1.276
2.16 1.1 -21.5 -25.7 0.08 -0.08 -1.24 0 0 0 -0.5952 -0.0405 -0.1168 0.013 0.050 -1.277
2.19 0.5 -21.6 -27.3 0.10 -0.09 -1.22 0 0 0 -0.4362 0.1763 -0.2179 0.015 0.036 -1.282
2.22 0.5 -21.6 -27.3 0.02 -0.05 -1.13 0 0 0 -0.1736 -0.0974 0.0351 0.017 0.027 -1.285
2.25 0.1 -21.4 -29.0 0.08 -0.09 -1.12 0 0 0 -0.0529 0.0393 0.0197 0.015 0.025 -1.284
2.29 0.1 -21.4 -29.0 0.09 -0.06 -1.16 0 0 0 -0.0071 0.2469 0.0569 0.019 0.024 -1.284
2.32 0.2 -20.7 -29.5 0.03 -0.06 -1.08 0 0 0 -0.0219 0.5543 0.2239 0.036 0.028 -1.279
2.35 0.2 -20.7 -29.5 0.07 -0.08 -1.04 0 0 0 -0.0257 0.2578 0.2328 0.052 0.029 -1.271
2.38 0.9 -20.2 -29.8 0.05 -0.06 -1.09 0 0 0 0.2624 0.2460 0.1326 0.058 0.036 -1.267
2.41 0.9 -20.2 -29.8 0.02 -0.05 -1.01 0 0 0 0.3902 0.5202 -0.0391 0.070 0.049 -1.268
2.44 2.0 -20.8 -28.8 0.10 -0.04 -0.94 0 0 0 0.2536 0.4711 -0.0028 0.084 0.058 -1.270
2.47 2.0 -20.8 -28.8 0.14 -0.03 -1.02 0 0 0 -0.0382 0.2891 -0.0110 0.096 0.059 -1.271
2.50 2.3 -21.8 -27.5 0.12 -0.04 -0.93 0 0 0 0.0018 0.1877 0.3217 0.105 0.056 -1.268
