iPhone Sensor Log from Crossbow started at Nov 17, 2011 15:21:24 Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
1.04 -21.0 8.4 -42.1 -0.38 0.09 -0.46 37.425912 -122.151738 11.4 1.8393 -0.8292 -1.3850 -0.047 0.309 0.201
1.07 -21.0 8.4 -42.1 -0.50 0.07 -0.55 37.425912 -122.151738 11.4 1.4774 -1.1734 -1.0635 -0.065 0.353 0.170
1.10 -24.2 -0.6 -42.4 -0.50 0.07 -0.54 37.425912 -122.151738 11.4 0.9813 -0.9804 -1.2936 -0.088 0.391 0.131
1.13 -24.2 -0.6 -42.4 -0.23 0.05 -0.32 37.425912 -122.151738 11.4 1.2378 -0.9519 -2.0173 -0.096 0.440 0.068
1.16 -26.7 -5.7 -41.4 -0.23 0.06 -0.35 37.425912 -122.151738 11.4 1.1458 -1.3168 -1.7264 -0.104 0.477 0.016
1.19 -26.7 -5.7 -41.4 -0.23 0.03 -0.36 37.425912 -122.151738 11.4 0.6103 -0.9514 -1.4821 -0.114 0.509 -0.044
1.22 -28.1 -10.2 -39.9 -0.04 -0.06 -0.25 37.425912 -122.151738 11.4 0.8511 -1.3192 -1.7588 -0.121 0.535 -0.091
1.25 -28.1 -10.2 -39.9 -0.03 -0.07 -0.22 37.425912 -122.151738 11.4 0.7642 -1.7622 -1.8134 -0.136 0.563 -0.145
1.29 -30.1 -17.1 -36.9 0.21 -0.12 -0.34 37.425912 -122.151738 11.4 -0.1559 -1.3022 -1.7256 -0.159 0.586 -0.235
1.32 -30.1 -17.1 -36.9 0.22 -0.08 -0.31 37.425912 -122.151738 11.4 -0.3052 -1.1137 -1.3854 -0.162 0.585 -0.285
1.35 -31.2 -20.7 -34.0 0.22 -0.08 -0.31 37.425912 -122.151738 11.4 -0.7249 -0.9907 -1.4645 -0.164 0.578 -0.332
1.38 -31.2 -20.7 -34.0 0.42 -0.26 -0.63 37.425910 -122.151767 7.4 -0.6680 -2.2551 -1.0178 -0.189 0.555 -0.394
